step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,orig_prior_txn_count,orig_prior_amount_sum,dest_prior_txn_count,dest_prior_amount_sum,dest_is_merchant
3,CASH_OUT,290.85,290.85,0.0,2074.57,2365.42,0,0.0,0,0.0,False
5,CASH_OUT,22945.48,5831.59,0.0,154627.41,177572.88,0,0.0,0,0.0,False
8,CASH_OUT,5387.37,4788.45,0.0,3245.52,8632.89,0,0.0,0,0.0,False
8,CASH_OUT,2235.12,1022.6,0.0,47920.8,50155.92,0,0.0,0,0.0,False
22,CASH_OUT,1957.03,1957.03,0.0,13237.19,15194.22,0,0.0,0,0.0,False
28,CASH_IN,6361.29,594.5,6955.79,2319.16,2319.16,0,0.0,0,0.0,False
31,PAYMENT,1707.17,21161.85,19454.68,5016.72,5016.72,0,0.0,0,0.0,True
35,CASH_OUT,1633.69,26520.69,24887.0,9111.05,10744.74,0,0.0,0,0.0,False
45,PAYMENT,3852.94,10650.79,6797.85,3636.26,3636.26,0,0.0,0,0.0,True
47,CASH_OUT,4668.92,5300.08,631.16,1280.11,5949.03,0,0.0,0,0.0,False
600,TRANSFER,250000.0,250000.0,0.0,0.0,250000.0,0,0.0,0,0.0,False
600,CASH_OUT,181000.0,181000.0,0.0,21182.0,202182.0,0,0.0,0,0.0,False
