step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,orig_prior_txn_count,orig_prior_amount_sum,dest_prior_txn_count,dest_prior_amount_sum,dest_is_merchant
600,TRANSFER,250000,250000,0,0,250000,0,0,0,0,false
600,CASH_OUT,181000,181000,0,21182,0,0,0,0,0,false
600,PAYMENT,9839.64,170136,160296.36,0,0,0,0,0,0,true
600,PAYMENT,1864.28,21249,19384.72,0,0,0,0,0,0,true
601,CASH_IN,229133.94,15325,244458.94,5083,51513.44,0,0,2,40000,false
601,DEBIT,5337.77,41720,36382.23,41898,40348.79,1,9839.64,0,0,false
601,TRANSFER,215310.3,705,0,22425,0,0,0,0,0,false
601,CASH_OUT,229133.94,15325,0,5083,51513.44,0,0,2,40000,false
602,PAYMENT,4024.36,2671,0,0,0,0,0,0,0,true
602,TRANSFER,311685.89,10835,0,6267,2719172.89,0,0,3,2400000,false
602,CASH_OUT,110414.71,26845.41,0,288800,2415.16,0,0,1,288800,false
602,PAYMENT,7817.71,53860,46042.29,0,0,0,0,0,0,true
